filename,heteroatom,bond_angle[deg],scf_energy[hartree],bond_length[angstrom],ir_frequency[wavenumbers],force_constant[mg/s^2],carbon_partial_charge[-],heteroatom_partial_charge[-],homo_energy[hartree],somo-a_energy[hartree],somo-b_energy[hartree],lumo_energy[hartree],lumo+1_energy[hartree],lumo+2_energy[hartree],homo-1_energy[hartree],homo-2_energy[hartree],homo-3_energy[hartree],homo-4_energy[hartree],homo-5_energy[hartree],homo-6_energy[hartree],homo-7_energy[hartree],homo-8_energy[hartree],homo-9_energy[hartree],homo-10_energy[hartree],homo-11_energy[hartree],homo-12_energy[hartree],homo-13_energy[hartree],homo-14_energy[hartree],homo-15_energy[hartree]
CF3_radical_107.0_degrees.out,F,106.99998223067321,-337.62722395,1.3239756600043198,1200.73,625.0917723597206,0.54112,-0.180373,-14.649317170130125,-10.99625675563025,-1.4069918753953001,2.093956896675075,2.896692755650075,2.896692755650075,-15.203558660828525,-15.204402213765075,-16.334763148742077,-16.334763148742077,-18.5311164873603,-19.673967448075253,-19.674334801773426,-22.57823857446175,-37.30389728534965,-37.30536670014235,-39.896625264298706,-286.8757547757745,-676.1299783748734,-676.1312845213558,-676.1314750010513
CF3_radical_107.5_degrees.out,F,107.50001970167743,-337.62836237299996,1.3227373642079652,1209.44,634.193396374053,0.540552,-0.180184,-14.674569335456525,-10.9055612092586,-1.3152078736216501,2.0918480143337,2.8950192554695002,2.8950192554695002,-15.237464046600827,-15.237776977528902,-16.341674840544776,-16.341729263314875,-18.537089386378774,-19.694634495020722,-19.694797763331024,-22.579789623409603,-37.33376178044203,-37.33387062598223,-39.89899265479805,-286.8487066590348,-676.1457201611249,-676.146005880668,-676.1460739091306
CF3_radical_108.0_degrees.out,F,108.00002012831993,-337.62937788399995,1.3215514412324967,1217.88,643.0756371259415,0.53988,-0.17995966666666666,-14.699426935699702,-10.81334182532415,-1.22225378229085,2.089467018141825,2.8929511902057,2.8929511902057,-15.270689147746875,-15.270934050212325,-16.348151150186673,-16.3482736014194,-18.54268132600655,-19.7144307776446,-19.71483894842035,-22.5810413471219,-37.3616126330407,-37.36301401937078,-39.900489280975805,-286.82159051383246,-676.1602102236641,-676.1604279147444,-676.1615707929166
CF3_radical_108.5_degrees.out,F,108.50001717956007,-337.63026737399997,1.3204177485855797,1225.81,651.4774374996108,0.539095,-0.179698,-14.723957999322275,-10.7195441810568,-1.1280751786328,2.0867730910218754,2.89052937693625,2.89052937693625,-15.303138724419,-15.303995883048076,-16.3542056833603,-16.3544233744407,-18.547892306243625,-19.733492352872126,-19.73432230011615,-22.58210259113885,-37.388701566857975,-37.391654002135894,-39.901183171294576,-286.7946104255554,-676.1744417780452,-676.1746594691256,-676.1772173393204
CF3_radical_109.0_degrees.out,F,109.00000983318252,-337.631027463,1.319337861853169,1233.59,659.7733053489891,0.538185,-0.17939466666666667,-14.748094497861624,-10.6240866423014,-1.03264485126245,2.0837390215888,2.8877810270462,2.8877810270462,-15.335098496160224,-15.336595122337975,-16.3598112286806,-16.360124159608674,-18.55269511570495,-19.751887249165925,-19.753125367185703,-22.58286450992025,-37.4150557932789,-37.41958648888972,-39.90093826882912,-286.7675895202008,-676.1884964584235,-676.1887005438114,-676.1926598003362
CF3_radical_109.5_degrees.out,F,109.4999878284042,-337.631654023,1.318312356808492,1241.24,667.9817309581063,0.53716,-0.179053,-14.771822825625225,-10.52680594074765,-0.93582674325455,2.0803648098426,2.8846925348430252,2.8846925348430252,-15.366568462970552,-15.368677345311927,-16.364899757684952,-16.365321534153225,-18.557062543005475,-19.7695610437559,-19.7711937268589,-22.583272680696,-37.440688917996,-37.4467298454771,-39.8997273621944,-286.7404597693059,-676.2022654192588,-676.2024831103392,-676.2079662044268
CF3_radical_110.0_degrees.out,F,110.0000032908672,-337.63214324500007,1.3173421841217323,1248.78,676.121784112428,0.536011,-0.17867033333333335,-14.795170193998125,-10.427647653625451,-0.8375936432240499,2.07658242732065,2.8813047174043,2.8813047174043,-15.39758944192755,-15.40025615766245,-16.369512087450925,-16.370015498074352,-18.5609401653751,-19.78652734233458,-19.78852737913575,-22.583395131928725,-37.465655363779376,-37.47302964912792,-39.89756405708293,-286.71323477856333,-676.2159935630166,-676.2162112540971,-676.2229324662044
CF3_radical_110.5_degrees.out,F,110.50000320920594,-337.63248984999996,1.3164265740134795,1256.37,684.3656054403243,0.534738,-0.17824600000000002,-14.818082180210226,-10.326475724009551,-0.7378094942457,2.0723374512528503,2.87757675765245,2.87757675765245,-15.428297489956476,-15.43111386830915,-16.373648217978527,-16.374192445679526,-18.564355194198875,-19.802867779057102,-19.80496305570595,-22.583123018078226,-37.49039051278982,-37.4979960949113,-39.89440753641713,-286.68580570243296,-676.2299257921621,-676.230157088935,-676.2368102725798
CF3_radical_111.0_degrees.out,F,110.99998748332972,-337.632687814,1.3155763010429433,1263.65,692.3196574504137,0.533331,-0.177777,-14.840504361491426,-10.2232629405149,-0.6364742963195,2.06760267025415,2.87352226128,2.87352226128,-15.45827083058905,-15.461549802487577,-16.3771176695724,-16.377757137121073,-18.567130755473976,-19.81824221161035,-19.820623207802228,-22.5824019163744,-37.5137786982403,-37.5224319186862,-39.8900401091166,-286.65815893522216,-676.2433137936068,-676.2435450903797,-676.251069038346
CF3_opt.out,F,111.38722450784508,-337.632745162,1.3150853708170651,1270.07,699.3722161117963,0.532291,-0.17743033333333333,-14.8577427739206,-10.14317983431275,-0.5579966618353001,2.0634121169564503,2.870297712151575,2.870297712151575,-15.48210800389285,-15.483604630070602,-16.378845592523074,-16.379743568229728,-18.567674983174975,-19.829330851018224,-19.83048733488285,-22.5814223065126,-37.533928728869824,-37.53624169659908,-39.88390394178782,-286.63783203058983,-676.2556405510344,-676.256538526741,-676.2577086162981
